,question
16222,"NNP NN IN DT NNP VBD NN , VBG , CC VBG DT NNP ."
16223,WP MD VB VBN TO DT NN IN CD CD NNS IN DT NNP NNP .
16224,DT NNP NNP NNP CC NNP NNP VBD IN DT NN CC NN IN WRB JJ NNS .
16225,WP VBZ DT JJ NN IN VBG NN .
16226,DT JJ NN IN DT JJ NN VBD VBN IN WP IN NNP CC DT NNP NNP .
16227,WP VBD DT JJ NN VBD CD CD JJR IN PRP MD VB VBN IN CD .
16228,WRB VBD DT JJ NN VBN TO VB IN CD CD JJR IN PRP MD VB VBN .
16229,"WP VBD VBN IN NN IN NNS , NNS , CC JJ NNS IN DT JJ NN ."
16230,WRB VBD NNP NN IN DT NN .
16231,NN VBD JJ WRB WP NN VBD TO VB PRP IN DT NN VBG PRP$ JJ NNS .
16232,DT JJ NNP VBD WP IN NN IN PRP$ JJ NNS .
16233,WP JJ JJ NN IN DT JJ NN VBD JJS JJ NNP .
16234,WRB VBD NNP VB RB .
16235,WRB VBD DT NN `` NNP '' VBN IN DT JJ NN IN DT NNP NNP .
16236,WRB VBD DT NN `` NNP '' VBN IN DT JJ NN IN NNP .
16237,WRB VBD DT NN `` NNP '' VBN IN DT JJ NN IN DT NNP NNP IN NNP .
16238,WRB VBD DT NN `` NNP '' VBN IN DT JJ NN IN NNP CC NNP .
16239,JJ NNP NNS WDT VBD NN IN DT NNP NNP VBP RB IN WRB .
16240,WP VBZ DT JJS JJ NN .
16241,WRB VBZ DT JJS JJ NN VBN .
16242,WP JJ JJ NNS VBP IN NNP .
16243,WP NN VBD IN NN IN DT JJ NN WDT VBD DT JJ NN CC NN IN PDT DT NNP NNS .
16244,WRB VBD DT JJ NN IN NNP .
16245,WP VBD NNP IN DT JJ NN .
16246,WRB VBD DT NNP NNP NN JJ NN CC NN IN JJS JJ NNS .
16247,WRB RB VBD DT NNP NNP VBP DT JJ NN .
16248,WP VBD IN DT RB RB JJ CC JJ NN .
16249,WRB VBD NNP NNS VBN IN NNP .
16250,WP VBZ VBD VBN IN NNP .
16251,"IN CD , NNP VBZ VBD VBN IN WP ."
16252,WP VBZ IN WP NN VBZ JJ IN DT JJ NNP NN NNS .
16253,WP VBZ DT NNP NN .
16254,WP VBZ DT NNP NN .
16255,"JJ IN DT NNP NNPS , WP RB VBZ NNP ."
16256,WP VBZ DT JJ NN TO VB IN NNP .
16257,WP VBZ DT JJ NN IN DT NNP NNS .
16258,NNP VBD JJ JJ CC JJ NNS IN WP NNS .
16259,DT NNPS WP VBD IN DT NNS VBD NNS IN WP .
16260,WP VBD NNS IN NNP .
16261,NNP VBZ DT NN IN WP .
16262,NNP VBZ RB VBN TO IN WP .
16263,WP VBZ VBN IN DT JJ NN IN DT NN VBG DT JJ NN IN DT JJ NNP NNS .
16264,NNP NNP NNP NNS VBD VBN IN DT JJ NNP NN IN WP .
16265,WP MD RB VB DT NN IN DT JJ JJ NNP JJ NN .
16266,WRB VBD JJ NNP NNS NNP .
16267,WP NN VBZ JJ IN DT NNP CC NNP NNP .
16268,WP NN VBZ JJ IN DT NNP CC JJ NNP NNP .
16269,WRB VBD DT NNP NNP VB .
16270,DT NN IN JJ NNP NNS WP VBP DT NN VBP WP .
16271,WP VBZ RB VBN RB JJ NNS IN JJ JJ NNS .
16272,WP CD JJ NNS VBP NNP VBD IN .
16273,DT NNP NNS VBP VBN JJ JJ NN IN WP NN IN NNS .
16274,JJ NN IN WP VBZ VBN DT JJ NN .
16275,DT NN IN `` JJ '' NN VBZ VBN RB IN NNP VBG WRB .
16276,JJS NNS IN JJ NNP VBD PRP IN WP .
16277,WP NN VBZ VBN NN IN DT NNP .
16278,JJS JJ NNS RB VBP IN WP NN .
16279,WP CD NNS VBP VBN CD NNS IN DT JJ NN CC DT NNS MD RB VB VBN RB .
16280,DT JJ NN IN NNS VBP PRP NNP CC VBP RB RB NNP IN NN IN WP NNS .
16281,DT NN VBZ TO VB VBN IN DT NN IN DT WP JJ NNS .
16282,DT NN VBZ RB VBN IN NNS VBG WRB .
16283,WRB VBP NNP VBN .
16284,WRB VBP VBN VBN .
16285,WRB VBP NNP VBN .
16286,WRB VBP NNP NNP VBD .
16287,WRB VBP NNP VBN .
16288,WP NN IN NNS VBP JJ .
16289,WP VBP DT JJ NN IN NNS .
16290,NNP IN NNP VBP RB NNS IN WP .
16291,WRB VBP NNP VBN .
16292,WRB VBP NNP VBN .
16293,WRB VBP NNP VBN .
16294,WRB VBP NNP VBN .
16295,WP CD NN NNS VBP IN JJ NNP NNS .
16296,WP VBZ DT NN IN NNP NNP IN DT NNP .
16297,WP VBZ DT NN IN NNP NNP IN NNP .
16298,WP VBZ DT NN IN NNP NNP IN NNP .
16299,WP VBZ DT NN IN NNP NNP IN NNP .
16300,WRB VBD NNP CC NNS VBD JJ NNP NNS IN DT NN IN VBG DT JJ NN .
16301,WP VBD JJ NNP NNS IN DT NN IN VBG DT JJ NN .
16302,IN CD NNP CC NNS VBD JJ NNP NNS IN DT NN IN VBG WP .
16303,WP VBD IN RB NNP NN IN NNP NNP NNP NNP .
16304,WRB VBD NNP NNP NN RB IN NNP NN IN NNP NNP NNP NNP .
16305,DT NN WDT VBD NNP VBD VBN IN WP .
16306,WP VBZ VBN IN DT NN IN NNP NNP NNP .
16307,NNS VBP VBN IN DT NN IN WP .
16308,NNP NNP NNP VBP VBN IN JJ NNS IN WP .
16309,NNS VBP RB JJ TO NNS IN WP NN .
16310,NNS VBP RB VBN IN WP .
16311,NNP VBZ JJ IN WP NNS .
16312,NNP VBZ VBN VBG JJS WRB .
16313,NNP NNP VBZ RB VBN IN WP NN IN NNS .
16314,NNP NNP VBD VBN TO VB VBN WRB .
16315,WP VBZ VBN NNP IN CD NNS .
16316,WRB VBD NNP NNP NNP VBP DT NN IN NNP NNS TO VB DT NN IN `` NNP '' `` NN NNS '' .
16317,WP VBD DT NN IN NNP NNS TO VB DT NN IN `` NNP '' `` NN NNS '' .
16318,NNP VBD NNP NN NNS VBD JJ IN WP NNS .
16319,NNP VBD DT NNP NN IN NNP NNS VBD RB VBN IN DT NN IN `` NNS '' IN WP NN NN .
16320,NNP VBD IN JJ NNP `` NNP NN '' VBD VBN IN DT NNS IN NN IN WP NNS .
16321,NN IN WRB JJ NNPS VBP IN DT NNP VBZ VB IN CD JJ NNS DT JJ TO NNP JJ NNS .
16322,"NN NNS IN CD NNPS VBP IN DT NNP NNS VBD , DT IN CD ( CD NN ) NN IN CD JJ NNS DT JJ TO WP NNS ."
16323,"VBN RB , PRP VBP IN WP NN IN DT JJ JJ NNP NN NN ."
16324,WP NN VBD IN NNS WDT VBP JJ TO NNP CC NNP JJ NNS .
16325,JJ NNP ( NN ) VBD IN NNP CC NNPS VBD DT NN IN WP JJ NNS .
16326,WP VBZ DT JJ NN NN IN DT NNP .
16327,WP VBD DT NNP VBP NN IN IN NNP .
16328,"IN PRP$ JJ NN , PRP VBD VBG WP ."
16329,WP VBZ WRB IN DT NNPS .
16330,WP VBD IN DT NN IN DT NNPS .
16331,WRB VBD NNP NNP CC NNP NNP VBD IN NNP NNS .
16332,"IN DT JJ NNP , NNP NNP CC NNP NNP VBD IN WP ."
16333,"IN NNP NNP , DT NNP NN IN WP ."
16334,DT JJ NNP NN IN WP .
16335,NNS ( NNPS ) CC NNP NNS VBD VBN IN DT JJ NN IN WP NN .
16336,WP VBD IN NNS IN NNP .
16337,WRB VBD JJ NNP ( NNP ) VB .
16338,JJ NNP VBP RB VBN TO VB RB VBN WRB .
16339,"WP VBZ TO DT NNP NNS CC NNS IN DT NN NNP NN IN NNP NNP , NNP CC NNP ."
16340,NNP VBD IN WP .
16341,NNS VBD IN WP VBZ .
16342,JJ JJ NNS IN DT NNP NNP VBD WP .
16343,WP JJ NN VBD DT NNS VBP .
16344,WRB VBD DT NNP NN .
16345,WP VBD IN NNP NNP .
16346,WRB VBD DT NNP NN IN DT NN .
16347,WP NN VBD IN DT NNP .
16348,NNP WDT VBD IN DT JJ NN VBD VBN IN WP .
16349,EX VBZ DT JJ NN IN NN NNS CC JJ NNS IN NNP NN IN WP NN .
16350,NN IN NNP VBD RB TO DT NNS IN DT NN WDT VBD WP NN .
16351,WRB VBD DT NNP WDT VBD IN DT NNP CC JJ NN NN .
16352,WP VBZ DT JJ NN IN NNP .
16353,WP MD PRP VB NN WP VBZ IN NNP .
16354,IN WP JJ NN VBZ NNP VBN .
16355,WRB JJ NNS RB IN NNP VBZ NNP .
16356,IN WDT NN MD PRP VB IN NNP TO VB NNP .
16357,WP VBZ DT JJ JJ NN NN IN NNP VBD .
16358,IN WP NN IN CD VBD NNP POS NNP NNP VBP DT NN IN NNP NNP .
16359,WP NN VBZ NNP RB VBD IN .
16360,WP NN VBZ NNP NNP .
16361,"IN DT NN IN CD , WRB JJ NNS VBP VBN TO VB VBG RB IN NNP NNP ."
16362,WP JJ NN VBN IN NNP IN DT CD NN .
16363,WP VBZ DT JJ NN IN NNP NNP .
16364,"IN DT CD NN , WP VBD DT NN IN NNP IN PRP VBD IN NNP ."
16365,WP JJ NN VBZ NNP DT NN IN .
16366,WP VBZ DT JJ JJ NN IN NNP NNP .
16367,WP NN VBD DT NNPS VBP NNP .
16368,WP VBD NN VBD VBN IN NNP VBD CC DT NNPS VBD VBN .
16369,"VBG TO NN VBN , IN WP JJ NN VBD EX JJ NNS IN DT NN IN NNP ."
16370,WP VBZ DT NN IN NNP VBD RB .
16371,"IN NN TO CD NNS , WP VBD NNP POS NN IN NNS ."
16372,WP NNS VBD DT NN IN WP VBZ RB DT NNP NNP POS NN IN NNP .
16373,WP NN VBD DT NNS VBP PRP$ NN RB .
16374,WP NN VBD NNP VB IN DT NN IN PRP VBD VBG IN NNP .
16375,WP NN IN NNP VBD VBN IN NNP .
16376,WP NN VBD NNP IN DT NN IN JJ NNS .
16377,WP NN IN NNS VBN NNP IN DT CD NN .
16378,WP NN VBD DT NNP NN VBG NNP .
16379,IN WP NN VBD DT JJ NN VBN RP IN DT NN IN NNP .
16380,WP VBD DT NN IN DT JJ JJ NN WDT VBD NNP POS NN .
16381,IN WP NN VBD DT NNP NNP VB NN .
16382,WP VBD DT NN IN NNP IN DT NN IN DT NNP NNP .
16383,NNP VBD JJ TO VB IN NNP CC WP JJ NN IN NNP IN DT JJ NN .
16384,IN WP NN VBD NNP NNP VBN .
16385,"IN DT JJ NN , WP VBD NNP VB IN NN IN NNP NN CC NN ."
16386,NNS IN NNS POS NNS IN JJ NN VBP NN IN NNP VBD JJ NNS IN WP NN .
16387,WP NN VBD PRP TO NNP IN IN PDT DT NNS VBG NNP IN DT JJ NN .
16388,WP NN VBD DT NNP NNP NN IN NNP IN DT JJ NN .
16389,"IN NN TO NNP NNP POS NNP , WP VBZ DT NN IN DT JJ NN POS NN WDT RB RB VBZ ."
16390,WP VBD DT NN IN NNP IN DT JJ NN IN DT JJ CC NNS .
16391,WP NN VBD NNP VB RP IN DT NNS IN VBG NNP .
16392,WP NN VBD NNP NNP VBP RP IN NNP CC VB PRP TO VB NNS .
16393,WRB JJ IN DT JJ NNS IN NNP POS NNS VBP RB VBG .
16394,DT JJS NN IN DT JJ NN IN DT NN NNS IN WP NN .
16395,WP VBZ DT NN IN DT NN NN WDT VBD DT JJ IN PRP$ NN IN NNP NN IN NN NNS .
16396,IN WP NN VBD DT NNP POS NNP NNP VBN .
16397,WP NN VBD VBN IN NNP POS NNP NNP IN CD .
16398,JJ NN IN NNP VBD JJ NNS WDT VBD NNP RB RBR IN PRP$ NN .
16399,IN WP NN VBD NNP JJ NN IN DT NN IN DT NN .
16400,DT JJ VBG NN IN DT NN CC NN NN MD VB VBN IN WP JJ NNP NN .
16401,IN WP NN VBD DT JJ JJ VBN IN NNP .
16402,WP NN VBD NNP POS NNP NN VBD RP .
16403,IN WP NN VBD DT NNS IN DT NNP JJ VBD .
16404,WP NN RB VBZ IN DT NN IN DT NNP NN IN NNP .
16405,IN WP NN VBD DT NNS POS NN NN NN VBN IN NNP .
16406,WRB VBD DT NN VBD IN IN DT NNS POS NN NN .
16407,WP NN VBD DT NNS VBP VBG DT NN IN NNP VBP DT NN IN PRP$ NN .
16408,WRB VBD NN IN DT JJ NN NN NN VBN TO DT NN IN NNP .
16409,WP VBZ DT NN IN DT NN IN NNP NNP WRB VBZ IN DT NNS POS NN NN MD VB VBN .
16410,WP NN VBD VBG NN IN DT CD IN NNP .
16411,WP NN VBD DT NNP NN NN NNP .
16412,WP VBZ DT JJS NN DT NNPS VBD IN PRP$ NN IN NNP IN CD .
16413,IN WP NN IN CD VBD DT NNPS VBP TO VB NNP .
16414,WP VBD NN VBD DT JJ NN IN NNP IN DT NNP NNP .
16415,WP VBZ DT NN IN DT JJ NN VBN IN NNP IN NNP NNP .
16416,WP VBD DT NN IN DT NN WP VBD NN TO VB DT NN .
16417,"JJ CD CC CD , WP VBG NN VBD DT JJ NN IN NNP ."
16418,IN WP JJ NN VBD NNP NNP POS NNS IN JJ NN DT JJ NN .
16419,WP NN VBD NNP NNP VBP IN IN CD .
16420,"WP NN VBD DT NNS VBN IN JJ NN , VBG NNP NNP CC NNP NNP NNP , NN ."
16421,WP VBZ DT JJ NN WRB DT NNS IN NNP NNP VBD VBN VBN RB .
16422,WP VBD DT NNP IN NNP POS JJ NN .
16423,IN IN WP NN VBD DT NN IN DT NNP NNP NNS VBP NN .
16424,WP VBD DT NN NN NNP IN IN NNS IN DT JJ NN .
16425,"IN NN TO NNS IN DT JJ CC DT NNP NNP , IN WDT JJ NN IN DT JJ NN VBD NNP VB DT NN ."
16426,WP NN VBD NNP DT NN IN NNP . CD JJ NN NN .
16427,WP NN IN NNS IN NN TO VBD NNS IN DT NNP NNP RB VBD VBN TO NNP IN NN .
16428,IN WP NN VBD NNP NN NNS IN DT NNP IN NNP .
16429,WRB VBD NNP VB IN DT JJ NN .
16430,"IN RB VBG DT JJ NN , WP NN VBD NNP VB JJ IN NN NN ."
16431,WRB IN NNP VBD JJ NNS VBN IN NN VBN .
16432,WP NN IN NN IN DT NN VBD DT JJ NNS IN NNP NNP .
16433,IN WP JJ NN VBD NNP VB RB .
16434,WP NN VBD DT NNP NNP NN VBD .
16435,IN WP NN IN CD VBD NN NN IN DT NN IN DT NNP NNS .
16436,WP NN VBD DT NN TO NNP IN NNP VB RB .
16437,WP NN VBD NNP NN IN PRP$ NN IN VBG DT NN TO NNP .
16438,WP VBD `` DT NNP IN DT NNP NNP NNP NNP '' .
16439,WP NN VBD NNP VB VBD DT JJ NNP NNP RBR JJ IN NNP POS .
16440,WRB JJ VBD NNP POS NNP NNP IN VBN IN NNP .
16441,WP NN VBD NNP NN TO VB DT NNS IN NNP POS NNP NNP .
16442,NNS VBD DT NNS IN NNP IN VBG VBN IN WP NN .
16443,WP JJ NN VBD NNP POS NN VBG DT NNP NNS .
16444,WP NN VBD DT NNP VBD NN IN NNP .
16445,WRB JJ VBD NNS IN IN DT CD IN DT NNP NNP VBD NNPS .
16446,"WP NN VBD NN NNS IN DT NNP , VBG DT NNP NNP NNP ."
16447,IN WP NN VBD NNP NNP NNP VB .
16448,WP VBD DT NNP NNP .
16449,WP NN IN NNP VBD NNP NN IN .
16450,WP NN VBZ DT NN WDT VBZ DT NNP NN POS NN .
16451,IN WP NN IN CD VBD VB VB DT NN WDT VBD NNP POS NNS .
16452,JJ NNS VBD NNP NN IN NNP IN VBD PRP DT NN IN JJ NNP NN NNS .
16453,WRB JJ NNS VBD IN IN DT NN VBD IN NNP .
16454,"IN NN TO NNS , IN WRB JJ NNS VBD VBN IN NN NNS IN NNP ."
16455,IN PRP VBZ CC NNS IN NNS IN NNP WDT VBD NN IN NN NNS .
16456,WP NN IN NN RB VBD DT NN .
16457,NNP VBZ VBN VBN RB RB IN DT NNS IN WDT NN .
16458,IN WDT NN VBD RB VB TO VB DT NN IN NN IN NNP .
16459,DT IN DT NNS IN WDT NN VBD VBN IN DT CD .
16460,WP NN VBD DT NN IN NNP NNP IN NNP .
16461,WP VBZ DT JJ NN IN NNP NNP IN NNP .
16462,WRB VBD NNP RB VB DT NN .
16463,IN WP NN VBD DT NNP NNP VBP DT NNP IN NNP PRP$ NN .
16464,IN WP NN VBD DT NN VB DT NNP NNP NNP .
16465,WP NN VBD DT JJ NN NN NN NN IN NNP IN .
16466,WP NN VBD DT NN IN NNP RB VBD .
16467,"RB IN PRP VBD JJ , NNP VBD RB VBN NNP CC WP JJ NN IN DT NN ."
16468,WP NN VBD NNP VBN IN CD .
16469,NNP POS NN IN JJ NN NNS RB TO DT NN IN WDT NN .
16470,WP VBD DT JJ NN VBN IN DT NNS IN NNP IN DT NNS IN NN CC NN VBN RP IN DT NN IN CD .
16471,"IN DT CD , DT NN IN NNP VBD NN IN NNP CC WP NN ."
16472,IN WP NN VBD DT NN VBN IN CD WDT VBD NNP CC NNP IN NNP .
16473,WP NN VBD DT NN VBG NNP POS NN NN VBN IN NNP .
16474,WP NN POS NN VBN NNP IN PRP$ JJ NN .
16475,WP NN VBD NNP VB DT NN VBG PRP JJ NNP CC NNP IN DT NNP IN NNP POS .
16476,WP NN IN NN VBD JJ NN NN VBG RP NNP NNP IN DT NN .
16477,"IN CD , WDT NNP VBD RP DT NN IN NNP NNP ."
16478,WP VBD DT NN IN NNP NNP NNP POS NN VBD DT NNP CC NNP IN DT NNP IN NNP .
16479,WP NN VBD DT NN IN NNP VBP RB JJ IN IN NNP IN CD .
16480,WP JJ NN VBD NNP NN IN DT NNP CD JJ NN NN .
16481,"WP NN VBD JJ IN DT NN IN JJ NN IN NNP CD , CD ."
16482,WP JJ NN VBZ NNP RB VB TO .
16483,WRB JJ NNS VBP IN NNP POS NNP NNP .
16484,WRB NN NNS VBP RB IN NNP .
16485,WRB JJ NNS VBP VBN TO DT NN IN NNP .
16486,IN WP NN VBP JJ NNS VBD .
16487,IN WRB JJ NNS IN DT CD VBZ DT JJ NN VBD IN NNP .
16488,WRB JJ NNS VBZ NNP VB IN NN .
16489,WP VBZ NNP NNP POS NN .
16490,WP VBZ NNP NNP POS NN IN NN .
16491,TO WP JJ NN VBZ NNP NNP NN .
16492,JJ JJ NN IN NNP VBZ NNP NNP NNP NN .
16493,WRB JJ NNS CC NNS VBP RB IN DT IN NNP CC NNP IN DT JJ NN VBG IN DT NNP POS NN .
16494,WP VBZ DT JJ NNP IN NNP .
16495,WP VBZ DT NN IN DT CD NN IN NNP .
16496,"WRB VBD NNP NNP , DT NN NN IN NNP , VB RP ."
16497,WRB JJ NNS VBD NNP NNP JJ TO VB IN PRP$ NN .
16498,WP NN IN NNP VBZ NNP NNP NNP VBP DT NN NN IN .
16499,JJ JJ NN VBD NNP NNP NNP VB DT JJ NN IN IN CD .
16500,WP VBZ DT JJ NN IN DT NNP IN DT VBG NN TO NNP NNP NNP .
16501,"WP NN VBD NNP NNP NNP VBP IN NNP , NNP NNP ."
16502,IN WP NN VBZ NNP NNP NNP VBP DT NN NN IN NNP .
16503,IN WDT NN IN NNP NNP VBZ NNP VBN .
16504,WP NN VBZ IN DT NNP .
16505,NNP NN VBZ JJ IN NN NN .
16506,NNP NN VBZ DT NN IN NNP IN DT JJ NN CC DT NN NN .
16507,WP NNP NN VBZ VBN IN DT NNP CC NNP NNS .
16508,WP VBZ DT NN IN DT JJ NN WDT VBZ VBN IN NNP IN DT JJ NN .
16509,IN WP NN VBD DT JJ NNP WDT MD VB VBN NN VBN .
16510,WP NN VBD DT NN WDT VBD DT JJ NNP .
16511,WP NN IN NN VBD VBN IN DT NN VBN IN NN .
16512,IN WP NN VBD DT NNP NNP NNP NN DT NN WDT VBD DT JJ NNP .
16513,WRB JJ JJ JJ NN VBZ NNP NNP VB .
16514,WP NN VBP JJ NNS VBP VBZ DT JJ JJ NN IN NNP NNP .
16515,WP NN IN NN VBZ RB JJ IN DT JJ JJ JJ NN .
16516,WP NN NNS MD VB IN NNP NNP RBR RB IN IN DT JJ JJ NN .
16517,"IN NN TO PRP$ NN , WP NN IN DT NNP NNP VBZ NN NN IN NNP NNP ."
16518,IN WDT NN IN NNP VBZ DT NNP NNP NN .
16519,WP JJS VBZ IN DT JJ NN IN DT NNP NNP IN NNP .
16520,WP NN VBZ DT NNP NNP TO DT NNP .
16521,WRB VBD DT JJ NN VBN IN DT NNP NNP .
16522,WP NN IN VBG NNS IN DT NN IN DT JJ CC JJ NNS IN DT NNP NNP .
16523,WP VBZ DT JJS NN IN NNP .
16524,WRB JJ NNS VBZ NNP NNP .
16525,WP NN NN VBZ VBN IN NNP NNP .
16526,WP VBD NN VBD IN DT JJ NN IN DT NNP NNP NNP .
16527,WRB JJ JJ NNS VBP RB IN NNP .
16528,"IN NN TO DT NNP CC NNP NNP NNS , WP JJ NN VBZ DT NN NN ."
16529,WP VBZ NNP POS NN IN DT NN IN JJS JJ JJ NNS IN NNP .
16530,WP NN IN NN VBZ NNP VB .
16531,IN WP NN VBZ NNP VB DT NNP POS NN JJ NN .
16532,WP VBD DT NN JJ NN IN NNP IN NNS NNP .
16533,WP NN VBD NNP VB DT NN JJ NN IN NNP .
16534,WP VBZ DT JJ CD NNS NNP NN TO IN NNS NNP .
16535,WP NN IN JJ NN NNS IN NNP POS NN .
16536,IN WP NN IN NNP VBZ DT JJ NN NN IN DT NN .
16537,JJ NN IN DT NN VBZ JJ NN IN JJ NN IN DT NNP NNP NN .
16538,WP NN NN VBD DT NN NNS NN IN CD .
16539,"IN DT CD NN , NNP VBD VBN TO VB CD IN DT JJS NN NNS IN IN JJ NNS IN WP JJ JJ NN ."
16540,WP NN VBZ RP DT JJ NN IN NNP POS NN .
16541,"WP NN IN DT NN IN NNP VBZ NNP , VBG TO DT CD NNP ."
16542,"VBG IN DT CD NNP , WP NN IN NNP POS NN VBZ IN JJ NN ."
16543,WP NN IN DT JJ NN VBD DT CD NNP NN VBD NNP NNP .
16544,"VBG TO DT CD NNP , WP NN VBZ CD NN IN NNS VBG IN NNP ."
16545,"IN CD , WP VBD DT JJ NN IN NNP IN NN NNS ."
16546,WP NN IN NNS VBZ RP DT JJ NN IN NNP NNS .
16547,WP VBZ DT JJS NN IN DT JJ NN IN DT NN IN NNP .
16548,VBP RB RBR NNS CC NNS IN NNP .
16549,WP NN NN VBZ DT RBS NNS IN NNP .
16550,WRB JJ NNS IN DT NNS IN CD CC CD NN IN NNP .
16551,WRB JJ NNS VBP IN NNP .
16552,WP VBZ DT JJ JJ NN IN DT NNP NNP JJR IN NNP .
16553,IN WP NN VBD DT NN IN NNP NN IN CD TO CD .
16554,WP VBZ DT JJ JJ NN IN NNP IN NNP RBR RB VBN IN NNP .
16555,WP NN VBD DT JJ CD NN NN NN IN CD TO CD .
16556,WP NN NN IN DT NN IN NNP VBZ VBN TO VB DT RBS .
16557,"WRB JJ JJR NNS MD NNP VB IN DT NN VBD IN CD NN , IN DT NN VBN ."
16558,WRB JJ NNS VBD RB IN NNP IN NNP IN CD .
16559,"WRB JJ NNP NNS VBD VBG NN NN POS NN IN NNP , CD ."
16560,"IN NNP CD , WP NN IN NNP NNS VBD NN NN POS NN ."
16561,WP NNP POS JJ NN IN NNS VBG NN NN POS NN .
16562,WP NN VBZ IN DT NN IN NNP POS JJ NNS .
16563,WP NN IN JJ NNS IN NNP VBP IN DT NN NN NN .
16564,WP VBZ DT JJ JJS NN VBG NNS IN NNP .
16565,IN WP NN VBD JJ NNS NN IN NNP IN CD CC CD .
16566,WP NN IN JJ NNS IN NNP VBP IN JJ CC JJ NNS .
16567,WP VBD NNP POS JJ JJ NN IN NNP IN CD .
16568,WRB RB IN DT JJ NN VBZ DT JJ JJ NN IN NNP .
16569,WRB RB IN NNP POS NNP NNP NN VBZ NNP POS JJ JJ NN .
16570,IN WRB JJ IN NNP POS NN NN VBD NNP NN IN DT JJ NN .
16571,WP NN IN NN NNS VBP RP DT NN IN DT NN IN DT NN IN NNP .
16572,VBG IN WP NN IN NN VBZ NNP DT JJ JJS NN IN DT NNP .
16573,IN WP NN VBD NNP POS JJ NN NN JJ IN DT JJ NNS .
16574,WP NN IN DT NNP IN NNP VBZ PRP$ NNS IN NNP .
16575,WP NN VBD JJR JJ NNS VBP TO NNP .
16576,NNP POS NN IN NNS VBZ DT NN IN NNS CC WP JJ NN .
16577,WP NN IN NN VBZ NN IN NNP NN .
16578,"IN IN DT NNS CC NN NNS , WP NN VBZ VBN VBN IN NNP IN DT JJ NN ."
16579,WRB JJ NNS IN DT NNP NN VBP NN NNS IN NNP NNP NNP NNP NNP NNP .
16580,WRB JJ NNS IN DT NNP IN NNP RB IN DT NNP NNP NNP POS NN NNS .
16581,WP NN IN NN VBZ DT NNP NNP NNP NN IN DT NNP NNP NNP .
16582,WP NN VBZ DT NNP NNP NNP DT NN IN .
16583,IN WP NN VBZ NNP NNP VBD .
16584,WP VBZ DT NN IN DT NNP POS JJ NN NN .
16585,WP NN VBD NNP NNP POS JJ NN JJ IN NNP .
16586,WP NN VBD PRP VBZ VBG TO VB NN NNS TO DT NNP IN NNP .
16587,WP NN IN NNP VBZ DT NNP NN NN .
16588,JJ NN VBZ NNP NN IN PRP$ NNP NN .
16589,WP VBZ DT JJS JJ NN IN NNP .
16590,WP VBZ NNP POS NN IN DT JJS JJ NNS IN DT NNP .
16591,WP VBD DT NN IN DT JJ NN IN NNP NNP NN WDT VBD VBN IN NN IN IN DT NN .
16592,WP NN VBD NN NN IN DT NN IN NNP NNP .
16593,WP JJ JJ NN VBD DT JJ NN IN DT NNP NNP NN IN CD .
16594,WP NN IN JJ NNS VBP VBG VBN IN NNP POS NN .
16595,WRB JJ NNS VBP MD DT IN DT CD VBD NNS VB .
16596,WP NN IN NNP MD VB DT JJ JJ NN .
16597,WP NN VBZ RB JJ IN NNP IN VBZ NN IN DT NN .
16598,WP VBZ DT JJ NN IN DT NN NN WDT VBZ DT JJ NNS .
16599,"VBG IN CD NNS , WRB JJ VBZ NNP VB TO DT NN POS NN DT NN ."
16600,WP NN VBZ RP JJS IN NNP POS JJ NN .
16601,"IN CD , NNP POS NN TO DT JJ NN VBD RB VBN IN WP PRP VBD IN WP NN ."
16602,"WP NN VBD IN NNP CD , CD IN DT JJ NN ."
16603,WP VBZ DT NN IN DT NN VBN IN CD IN NNP POS NN NNS .
16604,WP VBZ DT NN IN DT NN NN IN NNP .
16605,WP VBZ DT JJ NN IN DT NNP NNP .
16606,WP NN VBD PDT DT CD NNS IN DT NNP NNP .
16607,IN WP NN DT NN VBZ DT NNP NNP NNP VBD .
16608,WP VBD JJ VBZ DT NNP NNP .
16609,WRB VBD DT NNP NNP RB VBD IN NNP NNP .
16610,WP NNP NN NNS IN DT NNP NNP .
16611,NNS IN DT NNP NNP MD VB TO VB IN JJS WRB JJ NNS .
16612,WP VBZ DT JJS NN IN NNP .
16613,WRB JJ NNS MD DT NNP NNP VB .
16614,WP VBD DT JJ NN IN DT NNP NNP .
16615,WP JJ NN NN VBZ VBN IN DT NNP .
16616,JJ NNP NN VBD DT NNP NNP IN NNP NNP NNP IN CD .
16617,WP NN IN NNP NNS DT VBN NN .
16618,WP VBZ DT NN VBN NNS NN IN NN IN DT NN NN IN NNP POS NNP .
16619,"WP NN , RB VBN IN DT NN , VBZ NN IN NNP POS NN NNS ."
16620,WP NN NN VBZ DT NN IN NNP NNP NNP .
16621,"IN NN TO DT NNP NNP , WP VBZ NNP POS JJ JJ NN IN JJ NN ."
16622,WP JJ NN IN DT NN IN PRP$ NN VBZ VBN IN DT NNP .
16623,WP VBZ IN DT NN WDT VBZ IN `` NNP '' VBZ VBN IN DT NNP .
16624,WP NN IN DT NN VBZ VBN IN DT NNP .
16625,WP NN IN NNP VBD VBN IN DT NNP POS JJS JJ NN .
16626,WP NN IN NN VBZ VBN IN NNP .
16627,WP JJ NN NN IN NNP VBZ VBN IN DT JJ NN .
